Date,Open,High,Low,Close,Adj Close,Volume
1977-05-04,6.771177,6.896280,6.771177,6.880642,1.760507,1880856
1977-05-05,6.880642,6.958831,6.849366,6.927556,1.772510,1522750
1977-05-06,6.911918,6.911918,6.833729,6.880642,1.760507,1174236
1977-05-09,6.880642,6.896280,6.833729,6.896280,1.764509,933634
1977-05-10,6.896280,6.927556,6.786815,6.849366,1.752504,1005575
1977-05-11,6.849366,6.880642,6.771177,6.771177,1.732498,824124
1977-05-12,6.771177,6.818091,6.708626,6.786815,1.736500,1524349
1977-05-13,6.786815,6.802453,6.536610,6.802453,1.740501,655462
1977-05-16,6.802453,6.880642,6.802453,6.865004,1.756506,649067
1977-05-17,6.865004,6.880642,6.771177,6.818091,1.744502,657061
1977-05-18,6.865004,6.943193,6.865004,6.896280,1.764509,1105493
1977-05-19,6.896280,6.927556,6.849366,6.911918,1.768508,912052
1977-05-20,6.911918,6.911918,6.833729,6.880642,1.760507,823324
1977-05-23,6.880642,6.880642,6.786815,6.802453,1.740501,503587
1977-05-24,6.802453,6.833729,6.724264,6.833729,1.748504,744989
1977-05-25,6.833729,6.880642,6.755540,6.755540,1.728499,592314
1977-05-26,6.755540,6.818091,6.755540,6.786815,1.736500,796946
1977-05-27,6.786815,6.833729,6.739902,6.818091,1.744502,514778
1977-05-31,6.818091,6.833729,6.771177,6.786815,1.736500,715413
1977-06-01,6.786815,6.865004,6.771177,6.833729,1.748504,1327710
1977-06-02,6.833729,6.849366,6.755540,6.786815,1.754162,1240582
1977-06-03,6.786815,6.911918,6.771177,6.911918,1.786497,1139865
1977-06-06,6.911918,6.927556,6.833729,6.833729,1.766288,723406
1977-06-07,6.833729,6.896280,6.802453,6.896280,1.782456,852900
1977-06-08,6.896280,7.037020,6.896280,6.990107,1.806707,1337303
1977-06-09,6.990107,7.021383,6.958831,7.005745,1.810748,675446
1977-06-10,7.005745,7.099572,6.958831,7.037020,1.818831,1283746
1977-06-13,7.037020,7.130847,7.037020,7.130847,1.843082,888871
